dict_id,sheet_name,column_name,data_type,allowed_values,description,required,primary_key,foreign_key_to,example_value
dict_000170,scenario_steps,data_payload_json,string,,Column data_payload_json in scenario_steps.,False,False,,
dict_000171,scenario_steps,expected_action,string,,Column expected_action in scenario_steps.,False,False,,
dict_000172,scenario_steps,scope_allowed,string,,Column scope_allowed in scenario_steps.,False,False,,
dict_000173,scenario_steps,dangerous_wrong_action,string,,Column dangerous_wrong_action in scenario_steps.,False,False,,
dict_000174,scenario_steps,consequence_text,string,,Column consequence_text in scenario_steps.,False,False,,
dict_000175,scenario_steps,next_default_step_id,string,,Column next_default_step_id in scenario_steps.,False,False,,
dict_000176,scenario_branches,branch_id,string,,Column branch_id in scenario_branches.,True,True,,
dict_000177,scenario_branches,scenario_id,string,,Column scenario_id in scenario_branches.,False,False,,
dict_000178,scenario_branches,from_step_id,string,,Column from_step_id in scenario_branches.,False,False,,
dict_000179,scenario_branches,trigger_action_pattern,string,,Column trigger_action_pattern in scenario_branches.,False,False,,
dict_000180,scenario_branches,branch_condition,string,,Column branch_condition in scenario_branches.,False,False,,
dict_000181,scenario_branches,to_step_id,string,,Column to_step_id in scenario_branches.,False,False,,
dict_000182,scenario_branches,consequence_severity,string,,Column consequence_severity in scenario_branches.,False,False,,
dict_000183,scenario_branches,debrief_note,string,,Column debrief_note in scenario_branches.,False,False,,
dict_000184,questions,question_id,string,,Column question_id in questions.,True,True,,
dict_000185,questions,taxonomy_id,string,,Column taxonomy_id in questions.,False,False,,
dict_000186,questions,level,string,,Column level in questions.,False,False,,
dict_000187,questions,scenario_id_nullable,string,,Column scenario_id_nullable in questions.,False,False,,
dict_000188,questions,ecg_id_nullable,string,,Column ecg_id_nullable in questions.,False,False,,
dict_000189,questions,item_type,string,,Column item_type in questions.,False,False,,
dict_000190,questions,difficulty_1_to_5,string,,Column difficulty_1_to_5 in questions.,False,False,,
dict_000191,questions,cognitive_level,string,,Column cognitive_level in questions.,False,False,,
dict_000192,questions,stem,string,,Column stem in questions.,False,False,,
dict_000193,questions,answer_format,string,,Column answer_format in questions.,False,False,,
dict_000194,questions,correct_answer_key,string,,Column correct_answer_key in questions.,False,False,,
dict_000195,questions,common_trap,string,,Column common_trap in questions.,False,False,,
dict_000196,questions,remediation_rule_id_nullable,string,,Column remediation_rule_id_nullable in questions.,False,False,,
dict_000197,questions,national_vs_local_flag,string,,Column national_vs_local_flag in questions.,False,False,,
dict_000198,questions,verification_status,string,,Column verification_status in questions.,False,False,,
dict_000199,question_options,option_id,string,,Column option_id in question_options.,True,True,,
dict_000200,question_options,question_id,string,,Column question_id in question_options.,False,False,,
dict_000201,question_options,option_key,string,,Column option_key in question_options.,False,False,,
dict_000202,question_options,option_text,string,,Column option_text in question_options.,False,False,,
dict_000203,question_options,display_order,string,,Column display_order in question_options.,False,False,,
dict_000204,question_options,is_correct,string,,Column is_correct in question_options.,False,False,,
dict_000205,question_rationales,rationale_id,string,,Column rationale_id in question_rationales.,True,True,,
dict_000206,question_rationales,question_id,string,,Column question_id in question_rationales.,False,False,,
dict_000207,question_rationales,option_id_nullable,string,,Column option_id_nullable in question_rationales.,False,False,,
dict_000208,question_rationales,rationale_type,string,,Column rationale_type in question_rationales.,False,False,,
dict_000209,question_rationales,rationale_text,string,,Column rationale_text in question_rationales.,False,False,,
dict_000210,psychometrics,psy_id,string,,Column psy_id in psychometrics.,True,True,,
dict_000211,psychometrics,question_id,string,,Column question_id in psychometrics.,False,False,,
dict_000212,psychometrics,item_status,string,,Column item_status in psychometrics.,False,False,,
dict_000213,psychometrics,pilot_status,string,,Column pilot_status in psychometrics.,False,False,,
dict_000214,psychometrics,target_blueprint_domain,string,,Column target_blueprint_domain in psychometrics.,False,False,,
dict_000215,psychometrics,scope_review_status,string,,Column scope_review_status in psychometrics.,False,False,,
